19	495
11	285
19	497
19	496
20	500
19	496
14	360
20	501
19	496
36	909
24	610
14	363
20	500
19	498
34	862
36	909
4	111
20	501
30	760
20	502
20	501
27	685
33	835
19	495
19	498
5	134
20	500
19	498
32	810
17	432
4	110
19	497
19	498
31	785
4	111
31	783
20	501
20	500
17	435
20	501
19	498
19	495
25	633
15	386
19	498
17	435
15	383
19	496
19	497
34	860
33	837
27	685
10	260
20	500
20	501
20	500
19	484
35	883
11	285
19	496
19	498
32	808
20	500
20	500
15	384
20	500
19	498
36	909
18	461
19	498
16	410
20	500
19	497
29	736
14	363
19	498
33	835
16	412
20	500
24	610
20	501
19	498
25	635
11	287
30	760
4	111
19	497
35	885
19	487
20	500
20	501
19	498
29	736
19	497
31	784
24	610
20	502
19	498
19	498
36	910
11	284
19	498
19	496
30	760
28	710
8	210
7	185
25	636
7	186
20	501
20	501
20	501
36	911
10	261
19	498
27	685
19	497
25	634
22	560
34	862
20	500
19	494
32	809
20	511
19	498
16	411
20	500
20	500
34	860
12	310
19	498
19	496
19	498
25	633
19	498
19	498
26	660
20	500
17	437
8	209
19	496
17	435
19	497
19	496
7	186
20	503
18	460
4	110
22	557
9	233
20	501
20	504
18	460
19	498
20	500
9	236
5	136
19	498
8	210
6	160
20	500
20	501
19	496
32	811
18	461
20	501
35	885
20	500
28	710
15	384
20	500
20	501
35	885
15	386
20	501
20	500
35	884
12	311
19	496
19	498
34	860
20	500
33	835
20	500
20	501
20	501
20	501
20	500
19	483
20	504
19	496
11	285
19	498
20	501
30	762
16	412
20	500
18	460
20	500
19	494
19	496
19	485
19	497
29	737
5	135
20	501
20	500
32	809
17	435
20	500
20	500
32	809
23	585
23	586
20	500
20	500
34	861
10	260
19	495
24	612
20	500
20	500
19	497
20	500
18	460
19	498
19	498
27	686
7	185
19	495
20	502
29	736
10	260
20	501
19	496
20	511
14	359
20	502
15	387
35	888
20	510
19	498
19	494
24	608
20	501
19	497
25	637
20	500
7	187
19	498
20	501
20	503
19	496
20	503
16	411
6	161
20	502
19	498
19	498
17	433
20	501
20	501
20	501
20	501
20	500
33	837
12	312
20	502
20	500
36	910
19	487
19	497
12	310
19	498
19	498
25	635
13	333
20	500
19	498
19	497
30	758
20	501
20	500
17	437
5	135
17	434
9	236
36	907
6	159
14	359
4	111
20	500
19	498
19	498
17	435
10	262
26	660
20	502
20	501
19	486
8	210
19	497
23	585
19	498
7	184
20	500
20	500
35	884
10	258
20	500
35	885
11	285
9	237
20	500
20	502
21	535
30	761
10	260
19	496
19	496
25	637
19	498
26	661
19	498
24	609
21	535
19	498
19	498
28	710
23	583
20	501
20	502
20	501
19	497
21	535
19	498
20	501
20	500
19	498
34	861
8	210
19	498
19	498
26	662
7	185
20	502
26	659
20	503
30	760
17	434
19	498
26	660
11	285
20	500
19	496
19	497
29	735
17	437
20	501
20	501
34	859
26	660
36	910
6	161
20	500
23	585
20	500
23	588
17	434
5	137
19	497
19	498
33	835
13	337
19	496
19	495
24	610
32	810
19	498
15	385
35	884
25	635
19	496
20	510
10	260
20	500
33	834
5	134
19	484
19	497
36	911
19	487
20	500
20	502
32	809
12	311
19	498
15	385
19	496
31	784
9	234
20	500
17	435
19	498
19	495
24	611
14	360
20	499
19	497
34	859
8	210
19	498
20	502
35	885
19	498
10	260
12	312
20	500
20	501
14	360
19	498
20	500
16	409
20	500
14	360
19	498
19	498
20	503
30	760
21	536
28	711
19	498
34	859
13	336
36	909
27	685
9	233
19	497
22	560
20	501
19	497
25	635
16	413
30	760
12	310
12	311
19	498
19	498
17	435
13	335
20	500
19	496
19	496
26	660
9	236
32	810
33	834
19	498
6	160
20	508
30	760
22	560
27	685
21	535
20	500
20	501
36	910
20	500
19	498
20	500
36	911
15	385
20	501
4	111
19	498
19	485
20	500
20	501
19	496
35	885
19	496
19	498
17	438
19	498
19	497
20	501
18	461
4	111
19	498
19	495
19	485
19	497
23	585
8	210
20	499
19	497
34	859
18	460
4	110
20	501
19	497
19	485
10	260
19	498
20	500
20	508
12	311
20	500
19	498
20	501
20	501
20	502
30	760
10	260
20	500
19	498
33	836
16	412
20	500
20	500
20	500
14	361
7	185
19	498
19	497
19	497
17	437
4	110
6	159
20	502
35	885
20	501
20	501
20	500
18	459
13	335
19	498
30	760
16	410
19	495
14	362
20	500
20	500
30	760
20	500
21	533
14	361
19	498
19	498
19	498
21	535
20	501
20	500
21	535
20	503
20	500
20	500
19	498
34	859
10	261
20	501
19	498
34	861
10	260
19	498
36	910
14	360
20	501
20	500
16	410
29	735
20	500
20	502
22	560
5	132
19	498
26	658
22	560
30	760
19	498
21	536
5	135
28	710
15	385
19	496
19	498
19	497
21	535
7	184
20	506
20	503
31	784
15	385
20	500
20	500
20	500
36	910
19	498
29	736
19	497
36	911
14	360
32	809
14	361
27	685
5	134
32	810
24	610
20	501
20	500
20	500
25	635
16	410
19	496
36	909
20	500
19	496
32	810
25	636
19	497
30	763
15	385
19	497
36	910
16	411
19	497
33	835
20	501
19	498
19	498
22	558
20	500
20	500
19	498
34	860
30	760
7	185
21	536
7	185
19	498
31	784
27	685
19	496
33	835
20	501
20	501
32	811
20	500
33	835
13	337
19	497
19	498
20	500
33	836
17	435
19	497
19	496
13	335
20	500
19	498
30	761
9	236
34	860
15	385
20	502
32	810
6	160
19	498
20	500
12	311
19	498
19	497
20	511
19	483
20	500
9	235
19	495
19	496
30	761
4	109
19	498
18	457
7	185
19	496
34	860
11	285
20	501
19	497
30	760
14	360
4	111
20	501
34	860
9	237
9	237
4	108
20	501
23	585
17	436
19	495
19	498
26	660
20	501
23	586
20	500
12	309
13	335
6	159
19	498
33	835
8	210
19	496
28	709
22	561
19	498
20	501
23	586
19	497
19	496
30	759
19	498
10	260
20	500
20	500
30	760
11	284
20	501
20	500
20	501
17	436
19	498
12	311
19	496
20	501
20	502
19	486
6	161
34	862
13	335
20	500
20	501
9	235
20	500
20	501
20	500
20	501
31	786
13	335
29	736
16	410
21	536
11	284
19	497
31	785
14	362
20	500
19	496
19	495
28	710
17	434
20	500
20	503
34	861
11	286
9	235
20	500
16	410
17	436
25	635
11	285
19	498
20	500
24	610
19	497
19	498
19	498
6	160
20	501
20	500
19	498
27	686
10	261
19	498
20	501
20	501
20	501
20	500
31	785
21	534
19	498
31	785
23	583
7	185
12	310
6	158
19	498
19	498
20	510
23	585
16	410
27	685
22	560
4	109
19	498
27	687
20	501
26	658
9	233
20	501
28	712
9	235
19	498
28	710
8	210
19	497
19	486
20	500
20	500
28	708
21	533
19	497
36	910
13	334
19	497
20	500
19	497
36	912
29	734
24	613
13	335
20	502
19	498
36	911
7	186
20	500
27	684
8	210
25	635
16	409
20	501
20	500
15	385
20	501
20	500
20	501
20	510
19	495
29	737
19	486
8	210
20	500
19	498
20	500
20	501
20	505
22	562
8	210
20	501
30	760
19	498
36	910
27	687
19	498
35	885
19	496
19	495
21	535
19	497
19	497
19	498
36	910
14	360
19	497
20	501
31	783
22	558
25	635
20	500
36	909
20	510
19	496
19	497
35	885
25	635
7	185
19	498
19	498
16	410
20	502
20	501
20	501
20	503
6	161
20	502
5	135
20	500
20	501
30	761
20	509
20	500
20	500
31	782
33	833
8	210
20	501
20	500
10	260
34	860
20	500
28	712
12	310
20	500
20	500
20	501
22	560
19	498
20	500
19	496
18	459
4	111
19	496
20	510
19	496
35	886
10	259
20	503
20	501
36	910
20	500
20	502
20	500
20	512
25	633
5	136
19	496
21	534
19	498
19	498
33	835
17	435
19	498
13	338
20	500
19	497
26	660
13	335
34	861
20	500
21	535
19	497
23	583
19	486
20	501
20	500
20	500
19	498
27	685
11	283
19	498
20	501
20	500
6	159
20	500
16	411
12	310
26	661
10	259
26	660
21	535
20	503
34	861
9	236
20	500
36	910
24	612
19	498
20	501
34	860
21	535
20	501
19	498
17	436
20	501
32	809
34	860
24	609
19	495
19	496
32	811
12	310
19	498
20	501
22	560
28	710
19	495
36	910
11	284
28	711
20	509
24	608
20	502
33	832
28	709
20	500
20	500
20	500
20	500
20	500
20	499
20	502
19	498
19	498
19	498
19	498
19	497
20	500
36	913
6	160
31	785
7	185
19	498
19	496
16	410
20	503
19	497
29	737
26	662
7	184
20	500
19	498
35	885
6	160
20	500
23	587
20	501
19	497
30	759
15	385
20	501
19	496
16	409
20	501
20	500
19	498
7	185
20	501
29	735
15	384
20	500
20	501
19	485
20	501
8	210
22	558
5	137
19	493
22	559
20	502
13	336
20	500
28	711
14	359
20	500
19	496
35	885
27	684
28	710
20	500
19	497
20	500
30	760
15	385
19	497
19	498
19	498
30	760
14	359
33	834
18	460
20	500
18	463
26	660
19	498
20	502
36	910
13	335
20	500
21	535
20	501
36	910
25	633
19	498
19	497
30	761
20	500
20	501
19	497
19	498
20	500
22	560
20	500
20	500
19	497
27	685
17	434
35	886
18	460
20	502
20	500
22	560
14	361
20	500
19	497
36	910
19	497
19	497
36	911
17	435
4	110
20	500
24	610
19	498
25	637
17	435
20	501
27	685
17	434
20	501
28	710
9	238
36	909
12	311
8	212
20	500
28	708
21	535
19	497
20	510
19	498
13	334
19	494
19	497
32	811
20	500
20	500
20	501
15	385
19	498
8	210
20	503
19	496
28	710
6	163
20	500
10	258
7	185
20	500
20	500
13	336
19	497
20	502
30	759
21	536
20	500
20	511
8	209
19	498
27	685
20	500
20	501
30	760
20	500
19	498
30	758
17	433
19	498
20	501
20	500
27	684
6	161
20	500
20	500
20	500
20	500
33	835
8	210
20	503
19	497
20	501
18	457
20	501
21	537
19	498
25	636
19	496
26	660
12	309
19	496
19	496
33	837
26	659
19	498
19	498
20	500
27	687
25	635
7	187
20	501
27	685
16	409
20	501
36	910
17	435
20	501
20	502
24	607
4	107
36	910
29	734
20	501
19	497
29	735
16	410
19	498
8	211
20	500
35	887
26	660
6	162
20	500
20	500
21	538
27	685
15	385
15	385
19	497
19	495
31	785
19	496
20	501
21	536
19	498
12	310
34	860
28	709
9	235
20	500
33	837
17	435
21	535
18	459
33	836
22	560
19	498
19	496
19	498
32	810
13	335
20	500
20	502
29	735
17	435
4	113
19	496
28	711
11	285
20	501
20	501
19	498
35	885
24	608
20	501
13	334
20	500
19	498
19	498
25	635
5	135
20	501
21	535
20	500
20	503
20	501
23	585
9	235
19	496
20	501
16	410
20	500
24	610
20	504
20	503
20	503
20	504
19	498
19	497
20	500
20	501
20	501
20	500
19	497
28	710
11	284
20	499
20	499
20	501
19	498
20	502
20	500
35	884
27	685
6	161
18	460
19	498
16	409
4	110
20	500
9	236
20	500
29	735
16	410
19	498
19	497
19	486
20	501
6	160
23	584
11	286
20	501
20	503
20	500
20	500
18	460
11	285
4	111
20	502
20	501
19	498
28	710
7	185
19	498
20	501
20	500
32	810
17	434
20	502
23	585
19	498
20	502
17	433
10	261
10	258
19	498
19	496
19	497
19	485
33	835
15	384
22	559
20	509
8	211
19	498
19	498
15	384
36	912
27	685
6	160
19	496
19	495
25	633
15	383
19	497
19	496
28	710
11	285
24	611
27	686
20	500
20	500
26	660
21	534
12	311
20	501
19	497
33	835
20	511
24	609
14	360
19	498
19	498
19	498
34	858
4	111
19	496
19	497
22	560
20	500
26	660
11	286
20	500
20	500
35	887
31	786
19	496
19	496
13	336
19	494
20	501
34	860
21	534
20	500
20	510
19	497
14	360
20	501
35	885
17	434
10	260
34	860
20	502
14	360
20	502
19	498
11	285
20	500
20	502
20	503
20	503
19	498
19	498
19	498
20	503
20	503
20	502
20	505
19	497
19	497
20	503
34	862
13	335
20	499
19	497
20	501
20	500
20	500
20	501
19	498
19	498
19	497
35	885
16	410
11	285
20	500
19	496
31	785
19	498
20	500
23	587
8	210
20	501
7	186
12	310
4	110
20	508
16	411
19	496
20	512
17	433
20	500
19	498
30	761
10	259
20	500
19	498
32	810
20	501
20	500
31	785
18	460
19	498
19	498
26	660
26	658
19	496
26	660
20	501
19	498
20	500
19	498
31	785
7	186
20	500
20	501
30	761
13	335
19	498
21	533
12	310
32	812
28	710
20	500
20	501
19	498
27	685
5	135
20	500
21	534
15	385
19	498
18	461
19	497
19	497
30	760
15	385
19	498
15	384
20	501
20	501
20	501
33	835
14	361
20	500
17	434
20	501
19	498
6	160
20	500
19	496
20	510
20	502
19	499
29	735
11	284
7	187
36	912
19	485
19	496
31	784
6	159
20	500
19	497
24	612
19	497
20	504
35	886
20	502
20	501
20	500
24	610
16	409
28	710
14	359
12	310
20	500
29	735
10	259
20	503
21	537
20	500
20	501
